CONCEPT,kara1474,kara_cv,kara_rlm,botl1242,botl_cv,botl_rlm,akhv1239,akhv_cv,akhv_rlm,ghod1238,ghod_cv,ghod_rlm,andi1255,andi_cv,andi_rlm,cham1309,cham_cv,cham_rlm,tind1238,tind_cv,tind_rlm,bagv1239,bagv_cv,bagv_rlm,bor
плесневение_141069.0,,,,,,,,,,,,,,,,,,,χujχ'ar,CVCCVC,CVjCVr,ʃː'anaχːar,CVCVCVC,CVnVCVr,
плесневеть_141076.0,kː'alahʷaɬa,CVCVCVCV,CVlVCVCV,,,,xː'aloːrutɬa,CVCVCVCCV,CVlVrVCCV,,,,,,,χudkuna,CVCCVCV,CVCCVnV,χˌujχiɬʲa,CVCCVCV,CVjCVCV,ʃː'anaχːila,CVCVCVCV,CVnVCVlV,
плесневеть_141077.0,,,,,,,,,,,,,dʒilinnu,CCVCVCCV,CCVlVnnV,,,,,,,,,,
плесневой_141085.0,,,,,,,xː'alaːrotɬːi,CVCVCVCCV,CVlVrVCCV,,,,,,,,,,,,,,,,
плесневый_141095.0,,,,,,,,,,,,,dʒilom,CCVCVC,CCVlVm,,,,,,,,,,
плеснуть_141104.0,,,,,,,,,,,,,tʃʷalχunnu,CCVCCVCCV,CCVlCVnnV,tʃʷartɬnaːla,CCVCCCCVCV,CCVrCCnVlV,,,,,,,
плеснуться_141116.0,,,,,,,,,,,,,,,,tʃʷartɬiːna,CCVCCCVCV,CCVrCCVnV,,,,,,,
плести (плетень)_141137.0,,,,,,,,,,,,,,,,,,,aʃːaχːiɬʲa,VCVCVCV,VCVCVCV,,,,
плести_141121.0,,,,,,,k'atsː'urutɬa,CVCVCVCCV,CVCVrVCCV,,,,,,,aχasːla,VCVCCV,VCVClV,,,,,,,
плести_141122.0,,,,,,,,,,,,,beʃdu,CVCCV,bVCCV,,,,,,,,,,
плестись медленно_141140.0,,,,,,,,,,,,,tɬabʃːeʃdu,CCVCCVCCV,CCVbCVCCV,,,,,,,,,,
плетение (из растений - для сушки)_141163.0,ʁʷãt''a,CVCV,CVCV,,,,,,,,,,,,,,,,,,,,,,
плетение из растений (для сушки)_141182.0,,,,,,,,,,,,,,,,,,,b'atɬ'i,CVCCV,bVCCV,,,,
плетение из растений_141166.0,,,,,,,b'atɬ'ːi,CVCCV,bVCCV,,,,,,,batɬ',CVCC,bVCC,,,,,,,
плетение_141148.0,,,,,,,k''atsːe,CVCV,CVCV,,,,,,,,,,,,,batɬ',CVCC,bVCC,
плетение_141151.0,xixʷ'ar,CVCVC,CVCVr,arχːaʃːir,VCCVCVC,VrCVCVr,,,,,,,,,,,,,aʃːaχː'ar,VCVCVC,VCVCVr,,,,
плетенка из прутьев ивы_141187.0,,,,ʃiʃ'ar,CVCVC,CVCVr,,,,,,,,,,,,,,,,,,,
плетеный_141196.0,,,,arχːaʃː'ab,VCCVCVC,VrCVCVb,,,,,,,,,,,,,,,,,,,
плетень_141203.0,,,,,,,,,,,,,tʃ'ːem,CCVC,CCVm,,,,,,,,,,
плетень_141205.0,,,,ʃiʃ'ar,CVCVC,CVCVr,,,,,,,,,,,,,,,,,,,
плетка_141211.0,,,,,,,tʃ'itɬ'ːe,CCVCCV,CCVCCV,,,,,,,,,,,,,,,,
плетущийся_141221.0,,,,,,,,,,,,,tɬabʃːetu,CCVCCVCV,CCVbCVCV,,,,,,,,,,
плеть (огуречная)_141244.0,ʕ'arʃːe,CVCCV,CVrCV,,,,,,,,,,,,,,,,,,,,,,
"плеть (огуречная, тыквенная)_141251.0",,,,,,,,,,,,,,,,s'el,CVC,CVl,,,,,,,
плеть_141231.0,,,,,,,,,,,,,,,,,,,,,,r'atal,CVCVC,rVCVl,
плеть_141234.0,,,,,,,,,,tsːel'i,CVCV,CVlV,,,,,,,tsːˌeli,CVCV,CVlV,,,,
плечо_141256.0,ʁaʁ'etʃan,CVCVCCVC,CVCVCCVn,,,,ʁẽːtʃ'a,CVCCV,CVCCV,,,,,,,,,,,,,,,,
плечо_141257.0,,,,beχ'un,CVCVC,bVCVn,,,,,,,beχun,CVCVC,bVCVn,,,,,,,ab'aɡʷan,VCVCVC,VbVCVn,
плешиветь_141268.0,,,,qaʃqaraχː'uj,CVCCVCVCVC,CVCCVrVCVj,,,,,,,,,,,,,,,,,,,
плешивость (от парши)_141275.0,,,,,,,,,,,,,katʃali,CVCCVCV,CVCCVlV,,,,,,,,,,1.0
плешивый_141284.0,,,,,,,,,,,,,katʃali,CVCCVCV,CVCCVlV,,,,,,,,,,1.0
плешивый_141286.0,,,,t''eħab,CVCVC,CVCVb,,,,,,,,,,,,,mitsːuχː'ub,CVCVCVC,mVCVCVb,,,,
плешь_141292.0,,,,,,,t''eħi,CVCV,CVCV,,,,,,,,,,,,,,,,
плис_141302.0,,,,,,,,,,,,,q'ut'upi,CVCVCV,CVCVCV,,,,,,,,,,
плита (каменная)_141323.0,,,,,,,,,,,,,,,,ˌabul,VCVC,VbVl,aba,VCV,VbV,,,,
плита (чугунная)_141332.0,,,,,,,,,,,,,,,,ˌabul,VCVC,VbVl,,,,,,,
плита_141310.0,,,,q''unu,CVCV,CVnV,q'ː'uni,CVCV,CVnV,q'un'u,CVCV,CVnV,q'unu,CVCV,CVnV,,,,,,,,,,
плита_141312.0,,,,,,,,,,,,,,,,,,,,,,ala,VCV,VlV,
плита_141314.0,,,,,,,,,,,,,,,,pilta,CVCCV,CVlCV,,,,,,,
плита_141317.0,,,,,,,,,,,,,,,,,,,p'asːi,CVCV,CVCV,,,,
плитка_141340.0,,,,q''unu,CVCV,CVnV,,,,,,,,,,,,,,,,,,,
плов_141348.0,pul'aw,CVCVC,CVlVw,pol'o,CVCV,CVlV,hul'o,CVCV,CVlV,pul'o,CVCV,CVlV,,,,poloː,CVCV,CVlV,pul'aw,CVCVC,CVlVw,pul'aw,CVCVC,CVlVw,1.0
пловец_141361.0,kʷ'altʃ'edoqan,CVCCCVCVCVC,CVlCCVCVCVn,,,,,,,,,,,,,,,,,,,,,,
плод инжира_141376.0,,,,t'ini,CVCV,CVnV,,,,,,,,,,,,,,,,,,,
плод со съемной косточкой_141385.0,,,,ʁardir'aɬi,CVCCVCVCV,CVrCVrVCV,,,,,,,,,,,,,,,,,,,
плод_141367.0,,,,r'iʒi,CVCV,rVCV,,,,,,,,,,,,,,,,,,,
плод_141368.0,,,,,,,,,,,,,,,,beq,CVC,bVC,,,,,,,
плодить_141394.0,,,,maχi,CVCV,mVCV,,,,,,,,,,,,,,,,,,,
плодиться_141403.0,,,,n'aχataɬi,CVCVCVCV,nVCVCVCV,,,,,,,,,,,,,,,,,,,
плодиться_141404.0,,,,,,,,,,,,,,,,bˌaχaχna,CVCVCCV,bVCVCnV,,,,,,,
плодный пузырь_141416.0,,,,,,,,,,,,,,,,,,,ekʷan,VCVC,VCVn,,,,
плодный слой_141420.0,,,,,,,,,,,,,,,,,,,,,,χː'untʃa,CVCCCV,CVnCCV,
плодовое дерево_141433.0,tʃ'ːʷ'ardob,CCVCCVC,CCVrCVb,,,,,,,,,,,,,,,,,,,,,,
плодородие_141439.0,,,,χ'uriʁir,CVCVCVC,CVrVCVr,,,,,,,,,,,,,,,,,,,
плодородная земля_141445.0,,,,,,,ʃːʷale,CVCV,CVlV,,,,,,,,,,,,,,,,
плодородная почва_141454.0,,,,,,,ʃːʷale,CVCV,CVlV,,,,,,,,,,,,,,,,
плодородный_141465.0,hoh'ab,CVCVC,CVCVb,biʔ'inab,CVCVCVC,bVCVnVb,h'uhadabe,CVCVCVCV,CVCVCVbV,beʕ'enab,CVCVCVC,bVCVnVb,,,,biʔ'inab,CVCVCVC,bVCVnVb,beʔen'ub,CVCVCVC,bVCVnVb,meʕen'ub,CVCVCVC,mVCVnVb,
плоды_141472.0,,,,,,,miqː'i,CVCV,mVCV,perq'i,CVCCV,CVrCV,biqi,CVCV,bVCV,,,,b'eqabetʃ'a,CVCVCVCCV,bVCVbVCCV,,,,
плоды_141474.0,xĩd'aɬer,CVCVCVC,CVCVCVr,,,,,,,,,,,,,,,,,,,niʕm'at,CVCCVC,nVCmVC,1.0
пломба_141484.0,,,,pol'omba,CVCVCCV,CVlVmbV,,,,,,,,,,,,,,,,,,,1.0
плоский хинкал_141505.0,χːink'a,CVCCV,CVnCV,,,,,,,,,,,,,,,,,,,,,,
плоский_141490.0,,,,,,,tɬ''abadabe,CCVCVCVCV,CCVbVCVbV,,,,lab,CVC,lVb,,,,ab'ub,VCVC,VbVb,ʃːard'ub,CVCCVC,CVrCVb,
плоский_141493.0,,,,q'abq'i,CVCCV,CVbCV,,,,,,,,,,,,,,,,,,,
плоскогубцы_141508.0,,,,,,,ʁ'ets'i,CVCV,CVCV,,,,labχuts'u,CVCCVCV,lVbCVCV,,,,,,,,,,
плоскость_141517.0,,,,ʕat''iratɬ',CVCVCVCC,CVCVrVCC,ʕat'iratɬ'ːi,CVCVCVCCV,CVCVrVCCV,ʕat''iratɬ'i,CVCVCVCCV,CVCVrVCCV,,,,ʕat''iratɬ',CVCVCVCC,CVCVrVCC,ʕat'ir'atɬ'i,CVCVCVCCV,CVCVrVCCV,,,,
плотина_141529.0,,,,sːanɡar,CVCCVC,CVnCVr,,,,,,,,,,,,,,,,,,,
плотник_141535.0,ust'ar,VCCVC,VCCVr,,,,uʃt'a,VCCV,VCCV,ustar,VCCVC,VCCVr,,,,ustar,VCCVC,VCCVr,ust'ar,VCCVC,VCCVr,ust'ar,VCCVC,VCCVr,1.0
плотник_141536.0,,,,h'udaɬansi,CVCVCVCCV,CVCVCVnCV,,,,,,,ɬudiltɬibesidir,CVCVCCCVCVCVCVC,CVCVlCCVbVCVCVr,,,,,,,,,,
плотничество_141547.0,,,,h'udaɬansiɬi,CVCVCVCCVCV,CVCVCVnCVCV,,,,,,,,,,,,,,,,,,,
плотно закрывать_141565.0,,,,beʃː'aj,CVCVC,bVCVj,,,,,,,,,,,,,,,,,,,
плотно закрываться_141571.0,,,,,,,tʃ'itɬ'ː'urutɬa,CCVCCVCVCCV,CCVCCVrVCCV,,,,,,,,,,,,,,,,
плотно закрытый_141583.0,,,,b'eʃːab,CVCVC,bVCVb,,,,,,,,,,,,,,,,,,,
плотно закрыть_141596.0,,,,,,,,,,,,,,,,,,,dah'ajɬʲa,CVCVCCV,CVCVjCV,,,,
плотно наполненный_141604.0,tʃ'ːat''eː,CCVCV,CCVCV,,,,,,,,,,,,,,,,,,,,,,
плотно обтягивающий_141611.0,,,,,,,,,,,,,,,,s'ãs'at'uda,CVCVCVCV,CVCVCVCV,,,,,,,
плотно сблизиться_141617.0,,,,,,,,,,,,,ts'ːet'unnu,CVCVCCV,CVCVnnV,,,,,,,,,,
плотно_141553.0,tʃ'ːat''aːbχʷa,CCVCVCCV,CCVCVbCV,,,,tʃ''itɬ'ːajeːhe,CCVCCVCVCV,CCVCCVjVCV,,,,,,,,,,,,,,,,
плотно_141555.0,,,,ʁ'unkido,CVCCVCV,CVnCVCV,,,,ʁ'unkʲidalu,CVCCVCVCV,CVnCVCVlV,,,,ʁ'ukiːdːw,CVCVCC,CVCVCw,bes'ibetɬ'alo,CVCVCVCCVCV,bVCVbVCCVlV,ʁ'unkidibo,CVCCVCVCV,CVnCVCVbV,
плотное захлопывание_141625.0,,,,,,,tʃ''itɬ'ːe,CCVCCV,CCVCCV,,,,,,,,,,,,,,,,
плотное образование_141641.0,,,,,,,,,,,,,,,,,,,n'ikʲa,CVCV,nVCV,,,,
плотность_141643.0,,,,,,,tɬ''ibe,CCVCV,CCVbV,,,,,,,,,,,,,ʁ'unkidar,CVCCVCVC,CVnCVCVr,
плотный_141652.0,,,,,,,tʃ'ː'it'edabe,CCVCVCVCV,CCVCVCVbV,,,,,,,,,,,,,,,,
плотный_141654.0,biz'am,CVCVC,bVCVm,,,,,,,,,,,,,b'isidːa,CVCVCV,bVCVCV,bisobets''ub,CVCVCVCVC,bVCVbVCVb,b'isubbes'ub,CVCVCCVCVC,bVCVbbVCVb,
плоть от плоти_141661.0,umat,VCVC,VmVC,,,,umate,VCVCV,VmVCV,,,,,,,,,,umata,VCVCV,VmVCV,,,,1.0
плохая молва_141671.0,,,,,,,,,,,,,toʃ,CVC,CVC,,,,,,,,,,
плохим_141680.0,,,,,,,,,,,,,leq'ildːu,CVCVCCV,lVCVlCV,,,,,,,,,,
плохо видящий_141698.0,,,,,,,,,,,,,halliq'i,CVCCVCV,CVllVCV,,,,,,,,,,
плохо кушающий_141709.0,,,,inkʷ'aq'i,VCCVCV,VnCVCV,,,,,,,,,,,,,,,,,,,
плохо питающийся_141720.0,,,,,,,,,,ikunq''i,VCVCCV,VCVnCV,,,,,,,,,,,,,
плохо растущий_141728.0,,,,,,,,,,,,,,,,butɬ'eq'ub,CVCCVCVC,bVCCVCVb,butɬ'aq'ub,CVCCVCVC,bVCCVCVb,,,,
плохо растущий_141729.0,,,,,,,,,,biʒanq''i,CVCVCCV,bVCVnCV,,,,,,,,,,,,,
плохо_141688.0,,,,,,,k'oʃaɬ'eːhe,CVCVCVCV,CVCVCVCV,t'ũj'i,CVCV,CVjV,,,,,,,,,,,,,
плохо_141690.0,,,,,,,,,,,,,,,,,,,,,,toχ,CVC,CVC,
плохо_141691.0,,,,s'urabu,CVCVCV,CVrVbV,,,,,,,,,,,,,,,,,,,
плохо_141692.0,bitɬː'e,CVCCV,bVCCV,,,,,,,,,,,,,eʃːɬ'iqa,VCCVCV,VCCVCV,tʃetʃiɬ'aqa,CCVCCVCVCV,CCVCCVCVCV,,,,
плоховатый_141736.0,,,,q'adamad'arab,CVCVCVCVCVC,CVCVmVCVrVb,,,,,,,,,,,,,,,,,,,
плохое мясо_141743.0,,,,,,,,,,,,,talχeʃːi,CVCCVCV,CVlCVCV,,,,,,,,,,
плохой (едок)_141766.0,ĩkʷatʃ''ob,VCVCCVC,VCVCCVb,,,,,,,,,,,,,,,,,,,,,,
плохой (о едоке)_141769.0,,,,,,,ũk'enoq'ːadabe,VCVCVCVCVCV,VCVnVCVCVbV,,,,,,,,,,,,,,,,
плохой взгляд_141779.0,,,,,,,,,,,,,ʁol,CVC,CVl,,,,,,,,,,
плохой поступок_141788.0,,,,,,,,,,,,,huruts'utu,CVCVCVCV,CVrVCVCV,,,,,,,,,,
плохой ребенок_141797.0,,,,,,,,,,,,,redʒel,CVCCVC,rVCCVl,,,,,,,,,,
плохой человек_141806.0,,,,,,,,,,,,,haratan,CVCVCVC,CVrVCVn,,,,,,,,,,
плохой_141751.0,,,,,,,k'oʃabe,CVCVCV,CVCVbV,,,,,,,,,,,,,,,,
плохой_141752.0,,,,,,,,,,,,,hatɬ'in,CVCCVC,CVCCVn,,,,,,,,,,
плохой_141753.0,bitɬː'ob,CVCCVC,bVCCVb,betʃ''er,CVCCVC,bVCCVr,,,,q'ad'arab,CVCVCVC,CVCVrVb,,,,q'adarab,CVCVCVC,CVCVrVb,tʃetʃ'ub,CCVCCVC,CCVCCVb,tʃitʃ'ub,CCVCCVC,CCVCCVb,
площадка_141817.0,,,,bajd'an,CVCCVC,bVjCVn,,,,,,,,,,,,,,,,,,,1.0
площадь_141823.0,bajd'an,CVCCVC,bVjCVn,hartʃ'ːa,CVCCCV,CVrCCV,m'eːda,CVCV,mVCV,,,,majdan,CVCCVC,mVjCVn,,,,bajd'an,CVCCVC,bVjCVn,bajd'an,CVCCVC,bVjCVn,1.0
плуг-ярмо_141841.0,,,,,,,ʕebetsː'erutɬ'ːi,CVCVCVCVCCV,CVbVCVrVCCV,,,,,,,,,,,,,,,,
плуг_141832.0,b'etsːe,CVCV,bVCV,p'ertsːu,CVCCV,CVrCV,ʕebetsː'e,CVCVCV,CVbVCV,retsː'i,CVCV,rVCV,,,,bij'atsa,CVCVCV,bVjVCV,,,,per'es'ː,CVCVC,CVrVC,
плуг_141833.0,,,,,,,,,,,,,kutak,CVCVC,CVCVC,,,,,,,,,,
плут_141850.0,,,,,,,ob'o,VCV,VbV,,,,,,,,,,,,,,,,
плут_141851.0,,,,,,,,,,,,,nadʒasi,CVCCVCV,nVCCVCV,,,,,,,,,,1.0
плут_141853.0,,,,jaʁzin,CVCCVC,jVCCVn,,,,,,,,,,,,,,,,,,,
плут_141856.0,iljadal'aw,VCCVCVCVC,VljVCVlVw,,,,,,,,,,,,,,,,,,,,,,
плутни_141865.0,ilj'adi,VCCVCV,VljVCV,,,,,,,,,,,,,,,,,,,,,,
плутоватый_141868.0,,,,,,,sːiħ'iʔobodabe,CVCVCVCVCVCV,CVCVCVbVCVbV,,,,,,,,,,,,,,,,
плутовать_141879.0,,,,,,,,,,,,,,,,,,,q'irq''irihiɬʲa,CVCCVCVCVCV,CVrCVrVCVCV,ħilː'adʒiːla,CVCVCCVCV,CVlVCCVlV,
плутовка_141890.0,,,,,,,,,,,,,,,,ʕipr'it,CVCCVC,CVCrVC,ʕipr'iti,CVCCVCV,CVCrVCV,,,,1.0
плутовка_141892.0,iljadal'aj,VCCVCVCVC,VljVCVlVj,,,,,,,,,,,,,,,,,,,,,,
плыть (по собачьи - гребя на себя)_141906.0,,,,,,,,,,,,,,,,,,,,,,b'uχːuna,CVCVCV,bVCVnV,
плыть_141897.0,,,,,,,,,,,,,,,,,,,,,,buχː'uχːuna,CVCVCVCV,bVCVCVnV,
плюнуть_141916.0,,,,tud'i,CVCV,CVCV,,,,tud'i,CVCV,CVCV,,,,,,,,,,,,,
плюс_141925.0,,,,ʒub'aj,CVCVC,CVbVj,,,,,,,,,,,,,,,,,,,
плюсна_141933.0,,,,,,,,,,,,,,,,,,,,,,r'uq'ubis'ːik'a,CVCVCVCVCV,rVCVbVCVCV,
плюсна_141937.0,k'ːal'e,CVCV,CVlV,,,,,,,,,,,,,,,,kʲːal,CVC,CVl,,,,
плюхнуться на сиденье_141953.0,,,,,,,,,,,,,,,,tosutʃ',CVCVCC,CVCVCC,,,,,,,
плюхнуться_141942.0,,,,,,,,,,,,,,,,,,,tʷ'aχijo,CVCVCV,CVCVjV,t'ankidila,CVCCVCVCV,CVnCVCVlV,
плюш_141958.0,,,,,,,q'ːat''ipa,CVCVCV,CVCVCV,,,,q'ut'upi,CVCVCV,CVCVCV,,,,,,,,,,1.0
плюш_141964.0,χːar'a,CVCV,CVrV,,,,,,,,,,,,,,,,,,,,,,
плюшевый коврик с изображением оленей_141967.0,,,,,,,r'it'utʃ''e,CVCVCCV,rVCVCCV,,,,,,,,,,,,,,,,
плющ_141980.0,,,,,,,,,,,,,,,,χut,CVC,CVC,χː'uti,CVCV,CVCV,,,,
плющение_141985.0,,,,,,,tɬ''aʃːʷaje,CCVCVCV,CCVCVjV,,,,,,,,,,,,,,,,
плющение_141986.0,,,,,,,,,,,,,t'epi,CVCV,CVCV,,,,,,,,,,
пляж_141997.0,,,,pilaʒ,CVCVC,CVlVC,,,,,,,,,,,,,,,,,,,1.0
пляс_142006.0,,,,tɬ''ibdar,CCVCCVC,CCVbCVr,,,,,,,,,,,,,,,,,,,
плясать_142015.0,,,,tɬ'ibdaɬ'i,CCVCCVCV,CCVbCVCV,,,,,,,,,,,,,tɬ''aɬʲa,CCVCV,CCVCV,,,,
пляска_142023.0,,,,,,,,,,,,,,,,w'oχũ,CVCV,wVCV,,,,sː'apar,CVCVC,CVCVr,
пляска_142024.0,,,,tʃ'ibdutɬ'ibdir,CCVCCVCCVCCVC,CCVbCVCCVbCVr,,,,,,,,,,,,,,,,,,,
плясовой_142033.0,,,,tɬ'ibd'arɬi,CCVCCVCCV,CCVbCVrCV,,,,,,,,,,,,,,,,,,,
плясун_142040.0,,,,tɬ'ibd'aruqan,CCVCCVCVCVC,CCVbCVrVCVn,,,,,,,tɬ'ibdilqan,CCVCCVCCVC,CCVbCVlCVn,,,,,,,,,,
плясунья_142049.0,,,,,,,,,,,,,tɬ'ibdilqan,CCVCCVCCVC,CCVbCVlCVn,,,,,,,,,,
пневматическое «ружье»_142059.0,,,,,,,,,,,,,,,,,,,,,,t'ʷ'anq'itʃ,CVCCVCC,CVnCVCC,
пневматическое ружье_142066.0,,,,,,,tɬ'ːʷat''itʃo,CCVCVCCV,CCVCVCCV,,,,,,,,,,,,,,,,
пнистый_142078.0,,,,k'arw'eɬːi,CVCCVCV,CVrwVCV,,,,,,,,,,,,,,,,,,,
по возможности_142084.0,baɬer'iq,CVCVCVC,bVCVrVC,b'ehala,CVCVCV,bVCVlV,botɬː'eroqːe,CVCCVCVCV,bVCCVrVCV,,,,,,,,,,,,,,,,
по восемь_142093.0,bitɬ'ibitɬida,CVCCVCVCCVCV,bVCCVbVCCVCV,bitɬ''ibitɬ''ida,CVCCVCVCCVCV,bVCCVbVCCVCV,bitɬ'ːibitɬ'ː'ida,CVCCVCVCCVCV,bVCCVbVCCVCV,bitɬ'ibitɬ''ida,CVCCVCVCCVCV,bVCCVbVCCVCV,,,,betɬ'itɬ''ida,CVCCVCCVCV,bVCCVCCVCV,bitɬ''ibitɬ'ija,CVCCVCVCCVCV,bVCCVbVCCVjV,bitɬ''ibitɬ'i,CVCCVCVCCV,bVCCVbVCCV,
по два раза_142111.0,k'ãts''ek'ãts'e,CVCVCVCV,CVCVCVCV,,,,k'ek''etʃ'e,CVCVCCV,CVCVCCV,,,,,,,,,,,,,,,,
по два_142102.0,k''edak'eda,CVCVCVCV,CVCVCVCV,k'ek''eda,CVCVCV,CVCVCV,k'ek''eda,CVCVCV,CVCVCV,kʲ'eːkʲ'eda,CVCVCV,CVCVCV,tʃ'etʃ'eɡu,CCVCCVCV,CCVCCVCV,etʃ'itʃ''ida,VCCVCCVCV,VCCVCCVCV,kʲ''eːkʲ'eːja,CVCVCV,CVCVjV,tʃ''eːtʃ'eː,CCVCCV,CCVCCV,
по двое_142120.0,,,,,,,k'em'ik'emidi,CVCVCVCVCV,CVmVCVmVCV,,,,,,,,,,,,,,,,
по двое_142121.0,,,,,,,,,,,,,tʃ'eltʃ'elɡu,CCVCCCVCCV,CCVlCCVlCV,,,,,,,,,,
по двое_142126.0,k'enak'en'aj,CVCVCVCVC,CVnVCVnVj,,,,,,,,,,,,,,,,,,,,,,
по девять_142129.0,,,,,,,ap'aːp''ada,VCVCVCV,VCVCVCV,,,,,,,,,,,,,,,,
по девять_142131.0,hatʃ'ʷ'ahatʃ'ʷa,CVCCVCVCCV,CVCCVCVCCV,hatʃ'ahatʃ''ada,CVCCVCVCCVCV,CVCCVCVCCVCV,,,,hatʃ''ahatʃ'ada,CVCCVCVCCVCV,CVCCVCVCCVCV,,,,atʃ'atʃ''ada,VCCVCCVCV,VCCVCCVCV,hatʃ'ʷ'ahatʃ'ʷaja,CVCCVCVCCVCV,CVCCVCVCCVjV,hatʃ'ː'ihatʃ'ʷaː,CVCCVCVCCV,CVCCVCVCCV,
по десять_142138.0,hats''ahats'a,CVCVCVCV,CVCVCVCV,hats''ahats'ada,CVCVCVCVCV,CVCVCVCVCV,atʃ'aːtʃ''ada,VCCVCCVCV,VCCVCCVCV,hats''ahats'ada,CVCVCVCVCV,CVCVCVCVCV,,,,ats'ats''ada,VCVCVCV,VCVCVCV,hats''ahats'aja,CVCVCVCVCV,CVCVCVCVjV,hats''ihats'aː,CVCVCVCV,CVCVCVCV,
по дому_142149.0,,,,,,,,,,,,,,,,,,,,,,eʃaːʕ'ariχ,VCVCVCVC,VCVCVrVC,
по дороге_142156.0,miq'aq''ĩq,CVCVCVC,mVCVCVC,,,,m'iq'ːariqːe,CVCVCVCV,mVCVrVCV,,,,,,,,,,,,,,,,
по желанию_142168.0,,,,id'o,VCV,VCV,,,,,,,,,,,,,,,,,,,
по зову_142180.0,k'ːaːniq,CVCVC,CVnVC,,,,,,,,,,,,,,,,,,,,,,
по какой причине_142183.0,,,,,,,tʃ'uːɡu,CCVCV,CCVCV,,,,,,,,,,,,,,,,
по которому должны ходить души умерших: грешные в ад_142193.0,,,,,,,,,,,,,sːirat'i,CVCVCV,CVrVCV,,,,,,,,,,1.0
по краям_142204.0,,,,bajbaχ'i,CVCCVCV,bVjbVCV,,,,,,,,,,,,,,,,,,,
по лицу_142211.0,,,,,,,,,,,,,hadu,CVCV,CVCV,,,,,,,,,,
по лучше_142223.0,,,,,,,,,,,,,,,,h'obk'asː,CVCCVC,CVbCVC,,,,,,,
по мере_142231.0,,,,m'uʁerχi,CVCVCCV,mVCVrCV,,,,,,,,,,,,,,,,,,,
по многу раз_142237.0,,,,,,,tʃ'atʃ'ela,CCVCCVCV,CCVCCVlV,,,,,,,,,,,,,,,,
по направлению (к чему-нибудь или от чего-нибудь)_142247.0,,,,,,,,,,,,,χːardːu,CVCCV,CVrCV,,,,,,,,,,
по ночам_142255.0,r'eɬatɬ,CVCVCC,rVCVCC,,,,ratɬar'atɬa,CVCCVCVCCV,rVCCVrVCCV,,,,,,,jeɬadasã,CVCVCVCV,jVCVCVCV,,,,r'elhaɬda,CVCCVCCV,rVlCVCCV,
по одному_142264.0,ts'ebtseb,CVCCVC,CVbCVb,tsets'eb,CVCVC,CVCVb,tʃetʃ'ebe,CCVCCVCV,CCVCCVbV,tsets'eb,CVCVC,CVCVb,sebsebqi,CVCCVCCV,CVbCVbCV,seseb,CVCVC,CVCVb,s'ebsebixʲo,CVCCVCVCV,CVbCVbVCV,tsets'eb,CVCVC,CVCVb,
по оплошности_142280.0,,,,,,,,,,,,,,,,,,,hakʲ'atʃ'ʷan'oːta,CVCVCCVCVCV,CVCVCCVnVCV,,,,
по очереди_142282.0,ʕerɡ'ajq,CVCCVCC,CVrCVjC,erɡaːdi,VCCVCV,VrCVCV,iɡaiɡaqːe,VCVVCVCV,VCVVCVCV,erɡʲaq'i,VCCVCV,VrCVCV,,,,,,,ˌirɡaqa,VCCVCV,VrCVCV,irɡ'ala,VCCVCV,VrCVlV,
по поводу_142291.0,ħ'aq'aɬːitɬ,CVCVCVCC,CVCVCVCC,,,,ħ'aq'ːeɬːiɡe,CVCVCVCV,CVCVCVCV,,,,,,,,,,ħ'aq'iɬːiː,CVCVCV,CVCVCV,ħ'aq'ɬːir,CVCCVC,CVCCVr,
по полу_142307.0,,,,,,,,,,,,,,,,,,,hatʃː'aqa,CVCCVCV,CVCCVCV,,,,
по порядку_142309.0,ʕerɡ'ajq,CVCCVCC,CVrCVjC,erɡaːdi,VCCVCV,VrCVCV,iɡaqː'e,VCVCV,VCVCV,erɡʲaq'i,VCCVCV,VrCVCV,,,,,,,,,,,,,
по порядку_142310.0,,,,,,,,,,,,,resola,CVCVCV,rVCVlV,,,,,,,,,,
по пояс_142321.0,,,,watɬ''araɬawwats'id'era,CVCCVCVCVCCVCVCVCV,wVCCVrVCVwwVCVCVrV,,,,,,,,,,,,,,,,,,,
по пути_142330.0,,,,m'iq'ib'ikːu,CVCVCVCV,mVCVbVCV,,,,,,,,,,,,,,,,,,,
по пятам_142336.0,,,,,,,q'edoqedo,CVCVCVCV,CVCVCVCV,,,,,,,,,,,,,,,,
по пятам_142338.0,χirχ'iχirχir,CVCCVCVCCVC,CVrCVCVrCVr,,,,,,,,,,,,,,,,χer'iχeri,CVCVCVCV,CVrVCVrV,heher'isːheher,CVCVCVCCVCVC,CVCVrVCCVCVr,
по пятам_142340.0,,,,,,,,,,,,,,,,baχ'ibaχat'ʷ,CVCVCVCVC,bVCVbVCVC,,,,,,,
по пять_142345.0,ĩʃd'uĩʃdu,VCCVVCCV,VCCVVCCV,iʃtuiʃt'uda,VCCVVCCVCV,VCCVVCCVCV,iʃtʷiʃtudabe,VCCVCCVCVCV,VCCVCCVCVbV,inʃtːuinʃtː'uda,VCCCVVCCCVCV,VnCCVVnCCVCV,,,,ĩsusuda,VCVCVCV,VCVCVCV,ĩʃt'uĩʃtuja,VCCVVCCVCV,VCCVVCCVjV,ĩʃːtuĩʃːt'uda,VCCVVCCVCV,VCCVVCCVCV,
