CONCEPT,kara1474,kara_cv,kara_rlm,botl1242,botl_cv,botl_rlm,akhv1239,akhv_cv,akhv_rlm,ghod1238,ghod_cv,ghod_rlm,andi1255,andi_cv,andi_rlm,cham1309,cham_cv,cham_rlm,tind1238,tind_cv,tind_rlm,bagv1239,bagv_cv,bagv_rlm,bor
(звукоподражание брюзжанию больного или раздраженного человека)_1346.0,,,,,,,,,,ʁirʁ'ili,CVCCVCV,CVrCVlV,,,,ʁirʁ'ir,CVCCVC,CVrCVr,,,,,,,
(звукоподражание бурлению и ворчанию)_1355.0,,,,,,,,,,,,,,,,burb'ur,CVCCVC,bVrbVr,,,,,,,
(звукоподражание бурлению кипящей жидкости)_1364.0,,,,,,,,,,qʷarqʷ'ali,CVCCVCV,CVrCVlV,,,,χʷarχʷar,CVCCVC,CVrCVr,,,,,,,
(звукоподражание быстрой ходьбе)_1371.0,,,,,,,,,,,,,,,,,,,,,,dʷardʷ'ari,CVCCVCV,CVrCVrV,
(звукоподражание быстрому и жадному принятию пищи)_1380.0,,,,,,,,,,,,,,,,χapχap,CVCCVC,CVCCVC,,,,hamh'am,CVCCVC,CVmCVm,
(звукоподражание быстрому обуванию)_1388.0,,,,,,,,,,,,,,,,ʃut',CVC,CVC,,,,,,,
(звукоподражание веселью)_1398.0,,,,,,,,,,,,,,,,,,,,,,h'ajthujt,CVCCCVCC,CVjCCVjC,
(звукоподражание ворчанию)_1410.0,,,,,,,,,,dundus'ir,CVCCVCVC,CVnCVCVr,,,,,,,,,,,,,
(звукоподражание вспархиванию птицы)_1417.0,,,,parχː,CVCC,CVrC,,,,p'arχːi,CVCCV,CVrCV,,,,tirχ,CVCC,CVrC,,,,,,,
(звукоподражание выплескиваемой жидкости)_1426.0,,,,tʃʷ'arχːi,CCVCCV,CCVrCV,,,,,,,,,,,,,,,,,,,
(звукоподражание выстрелу)_1434.0,,,,,,,,,,,,,,,,tɬ'ʷaw,CCVC,CCVw,,,,tɬ'ʷah,CCVC,CCVC,
(звукоподражание глухому шаркающему шуму)_1443.0,,,,,,,,,,,,,,,,,,,,,,ɬːaʃːaɬːaʃː'ar,CVCVCVCVC,CVCVCVCVr,
(звукоподражание глухому шлепающему шуму)_1455.0,,,,,,,,,,tɬʷ'arʃːi,CCVCCV,CCVrCV,,,,,,,,,,,,,
